candidateName,candidateParty,candidateVotes,seat,seatName
Haider Zaman Qureshi,Pakistan Peoples Party Parliamentarians,12008,NA-152,Khanewal-III
Pir M Aslam Bodla Siddiqui,Pakistan Muslim League (N),98938,NA-152,Khanewal-III
Zahoor Hussain Qureshi,Pakistan Tehreek-e-Insaf,108707,NA-152,Khanewal-III
Muhammad Shafiq Ul Rhman,Tehreek-e-Labbaik Pakistan,8388,NA-152,Khanewal-III
Muhammad Ashraf,Independent,1854,NA-152,Khanewal-III
Atta ur Rahman,Independent,586,NA-153,Khanewal-IV
Aurangzaib Alimgir,Independent,3326,NA-153,Khanewal-IV
Chaudhry Iftikhar Nazir,Pakistan Muslim League (N),106291,NA-153,Khanewal-IV
Ghulam Abbas,Tehreek-e-Labbaik Pakistan,7135,NA-153,Khanewal-IV
Malik Ghulam Murtaza,Pakistan Tehreek-e-Insaf,76920,NA-153,Khanewal-IV
Muhammad Anwar,Pakistan Kissan Ittehad(Ch. Anwar),646,NA-153,Khanewal-IV
Muhammad Sohail Zaman Shah,Independent,52424,NA-153,Khanewal-IV
AHMAD HUSSAIN,Pakistan Tehreek-e-Insaf,74220,NA-154,Multan-I
ANEELA IFTIKHAR,All Pakistan Muslim League,614,NA-154,Multan-I
IRAM GULL,Muttahida Majlis-e-Amal Pakistan,1103,NA-154,Multan-I
MAKHDOOM SYED MUHAMMAD SHER ALI SHAH,Independent,1855,NA-154,Multan-I
MALIK AZHAR AHMAD SANDILA,Tehreek-e-Labbaik Pakistan,7660,NA-154,Multan-I
MALIK NOOR HUSSAIN DEHAR,Independent,472,NA-154,Multan-I
MIAN MUHAMMAD SULEMAN ALI QURESHI,Pakistan Muslim League (N),20977,NA-154,Multan-I
MUHAMMAD TALAL ZOHAIB,Pakistan Siraiki Party (T),1815,NA-154,Multan-I
RANA AMEEQ UR REHMAN,Independent,1787,NA-154,Multan-I
SHOUKAT HAYAT BOSAN,Independent,1175,NA-154,Multan-I
SIKANDAR HAYAT KHAN BOSAN,Independent,37126,NA-154,Multan-I
SYED ABDUL QADIR GILLANI,Pakistan Peoples Party Parliamentarians,64257,NA-154,Multan-I
TAHIR RAZZAQ,Independent,1573,NA-154,Multan-I
Abdul Sattar Khan Tareen,Independent,394,NA-155,Multan-II
Imran Mustafa Khokhar,Pakistan Sunni Tehreek,109,NA-155,Multan-II
Karamat Ali,Pak Sarzameen Party,124,NA-155,Multan-II
Liaqat Ali,Independent,1796,NA-155,Multan-II
Malik Muhammad Amir Doger,Pakistan Tehreek-e-Insaf,135726,NA-155,Multan-II
Mazhar Abbas,Independent,1230,NA-155,Multan-II
Muhammad Aleem,Tehreek-e-Labbaik Islam,1955,NA-155,Multan-II
Muhammad Arshad Bhatti,Allah-o-Akbar Tehreek,1731,NA-155,Multan-II
Muhammad Atif Imran,Mustaqbil Pakistan,128,NA-155,Multan-II
Muhammad Ayoub,Tehreek-e-Labbaik Pakistan,5589,NA-155,Multan-II
Muhammad Hashim Rasheed,Independent,134,NA-155,Multan-II
Muhammad Khalid Khakwani,Independent,5032,NA-155,Multan-II
Muhammad Tariq Rasheed,Pakistan Muslim League (N),80993,NA-155,Multan-II
Noshin Afshan,Awami National Party,179,NA-155,Multan-II
Rana Nadeem Ahmad,Independent,925,NA-155,Multan-II
Syed Taqi Haidar Shah,All Pakistan Muslim League,579,NA-155,Multan-II
Syed Tanwir Ul Hassan Gillani,Independent,4548,NA-156,Multan-III
Muhammad Asghar,Tehreek-e-Labbaik Pakistan,6301,NA-156,Multan-III
Saba Faisal,Pakistan Awami Raj,241,NA-156,Multan-III
Sultan Mehmood Malik,All Pakistan Muslim League,267,NA-156,Multan-III
Shahzad Mumtaz,Independent,270,NA-156,Multan-III
Tahir Almas,Pakistan Kissan Ittehad(Ch. Anwar),568,NA-156,Multan-III
Makhdoom Shah Mahmood Hussain Qureshi,Pakistan Tehreek-e-Insaf,116272,NA-156,Multan-III
Amir Saeed Ansari,Pakistan Muslim League (N),84940,NA-156,Multan-III
Chaudhry Muhammad Din,Independent,177,NA-156,Multan-III
Ch  Muhammad Abdullah Khan,Allah-o-Akbar Tehreek,2421,NA-156,Multan-III
NADEEM MUMTAZ QURESHI,Mustaqbil Pakistan,222,NA-156,Multan-III
Naqeeb Ullah,Muttahida Majlis-e-Amal Pakistan,2511,NA-156,Multan-III
AAMIR ILYAS DOGAR,Independent,286,NA-157,Multan-IV
ABDUL GHAFAR,Pakistan Muslim League (N),62037,NA-157,Multan-IV
ASGHAR HUSSAIN SHAH,Independent,109,NA-157,Multan-IV
CHUDHARY MUHAMMAD DEEN,Independent,188,NA-157,Multan-IV
MAKHDOOM ZAIN  HUSSAIN QURESHI,Pakistan Tehreek-e-Insaf,77371,NA-157,Multan-IV
MUHAMMAD RAMZAN,Tehreek-e-Labbaik Pakistan,5887,NA-157,Multan-IV
MUHAMMAD WAQAS DOGAR,Independent,2814,NA-157,Multan-IV
SAYED ALI MOOSA GILANI,Pakistan Peoples Party Parliamentarians,70830,NA-157,Multan-IV
M imran Shaukat khan,Independent,916,NA-158,Multan-V
Allah Nawaz,Pakistan Siraiki Party (T),4708,NA-158,Multan-V
Muhammad ibrahim khan,Pakistan Tehreek-e-Insaf,83304,NA-158,Multan-V
Syed Yousaf Raza Gilani,Pakistan Peoples Party Parliamentarians,74443,NA-158,Multan-V
Muhammad Talal Zohaib,Independent,1870,NA-158,Multan-V
Syed Javed Ali Shah,Pakistan Muslim League (N),73218,NA-158,Multan-V
Zain Ali Shah,Independent,3526,NA-158,Multan-V
Dewan Syed Muhammad Haider Ali Bukhari,Independent,7610,NA-159,Multan-VI
Mehdi Abbas Khan,Independent,1555,NA-159,Multan-VI
Muhammad Abbas,Tehreek-e-Labbaik Pakistan,6033,NA-159,Multan-VI
Muhammad Akram,Independent,340,NA-159,Multan-VI
Muhammad Ashgar,Independent,368,NA-159,Multan-VI
Muhammad Iqbal,Tehreek Tabdili Nizam Pakistan,3226,NA-159,Multan-VI
Muhammad Shahzad Hussain,Independent,2234,NA-159,Multan-VI
Muhammad Sheharyar Noon,Independent,373,NA-159,Multan-VI
Muhammad Zulqarnain Bukhari,Pakistan Muslim League (N),99374,NA-159,Multan-VI
Naghma Mushtaq,Independent,1639,NA-159,Multan-VI
Rana Muhammad Qasim Noon,Pakistan Tehreek-e-Insaf,102606,NA-159,Multan-VI
Rana Shahzeb Ahmad Noon,Independent,1120,NA-159,Multan-VI
Siddique Ahmad,Independent,307,NA-159,Multan-VI
ABDUL REHMAN KHAN KANJU,Pakistan Muslim League (N),125740,NA-160,Lodhran-I
LIAQAT ALI KHAN,Pakistan Peoples Party Parliamentarians,15171,NA-160,Lodhran-I
MUHAMMAD AKHTAR KHAN KANJU,Pakistan Tehreek-e-Insaf,115321,NA-160,Lodhran-I
NAWAB AMANULLAH KHAN,Independent,987,NA-160,Lodhran-I
RANA MOIN FAREED NOON,Tehreek-e-Labbaik Pakistan,10316,NA-160,Lodhran-I
IFFAT TAHIRA,Allah-o-Akbar Tehreek,965,NA-161,Lodhran-II
Ayesha Gulalai Wazir,Pakistan Tehreek-e-Insaf-Gulalai,1614,NA-161,Lodhran-II
MUHAMMAD AMIR IQBAL SHAH,Independent,174,NA-161,Lodhran-II
MIAN MUHAMMAD SHAFIQ,Pakistan Tehreek-e-Insaf,121809,NA-161,Lodhran-II
ZIA UR REHMAN TAMIMI,Muttahida Majlis-e-Amal Pakistan,808,NA-161,Lodhran-II
MUHAMMAD UMAIR BALOOCH,Independent,131,NA-161,Lodhran-II
SYED IMRAN RAZA GILANI,Independent,3436,NA-161,Lodhran-II
SALEEM ABBAS,Saraiskistan Democratic Party,717,NA-161,Lodhran-II
MIAN SAJID,Independent,5773,NA-161,Lodhran-II
KHAN MUHAMMAD SIDDIQUE KHAN BALOOCH,Pakistan Muslim League (N),116093,NA-161,Lodhran-II
WASEEM AHMAD,Independent,164,NA-161,Lodhran-II
MUHAMMAD IQBAL SHAH,Independent,192,NA-161,Lodhran-II
MUHAMMAD AKRAM QASIR,Tehreek-e-Labbaik Pakistan,4459,NA-161,Lodhran-II
MUHAMMAD MUSHTAQ MALIK,Pakistan Aman Tehreek.,1712,NA-161,Lodhran-II
SYED MUHAMMAD AZHAR SHAH,Independent,801,NA-161,Lodhran-II
Shagufta Chaudhry,Independent,323,NA-162,Vehari-I
Irshad Ahmed,Independent,9241,NA-162,Vehari-I
Shaheen Iqbal,Muttahida Majlis-e-Amal Pakistan,1697,NA-162,Vehari-I
Ayesha Nazir,Independent,64766,NA-162,Vehari-I
Choudhary Faqir Ahmad,Pakistan Muslim League (N),81956,NA-162,Vehari-I
Khalid Mahmood Chohaan,Pakistan Tehreek-e-Insaf,58602,NA-162,Vehari-I
Kamran Yousaf Ghuman,Pakistan Peoples Party Parliamentarians,2710,NA-162,Vehari-I
Malik Zulfiqar Hussain Awan,Pakistan Kissan Ittehad(Ch. Anwar),468,NA-162,Vehari-I
Dewan Ghulam Fareed Sajid,Tehreek-e-Labbaik Pakistan,10464,NA-162,Vehari-I
Arifa Nazir,Independent,29243,NA-163,Vehari-II
Ghulam Murtaza,Pakistan Human Party,5086,NA-163,Vehari-II
Muhammad Akram,Independent,983,NA-163,Vehari-II
Muhammad Anwar,Pakistan Kissan Ittehad(Ch. Anwar),4663,NA-163,Vehari-II
Muhammad Ishaq Khan Khakwani,Pakistan Tehreek-e-Insaf,56873,NA-163,Vehari-II
Muhammad Javed Khan,Independent,1584,NA-163,Vehari-II
Natasha Daultana,Pakistan Peoples Party Parliamentarians,27723,NA-163,Vehari-II
Sajid Mehdi,Pakistan Muslim League (N),70325,NA-163,Vehari-II
Syed Muhammad Ismail Shah,Tehreek-e-Labbaik Pakistan,15485,NA-163,Vehari-II
Abdul Waheed,Independent,1014,NA-164,Vehari-III
AFTAB AHMAD KHAN KHICHI,Independent,1688,NA-164,Vehari-III
Begum Tehmina Doultana,Pakistan Muslim League (N),68198,NA-164,Vehari-III
Ghulam Sarwar Khan Khichi,Pakistan Peoples Party Parliamentarians,2625,NA-164,Vehari-III
Malik Azmat Ullah Khan,Independent,1201,NA-164,Vehari-III
Muhammad  Ashraf Khalid,Tehreek-e-Labbaik Pakistan,11066,NA-164,Vehari-III
Muhammad Farooq Irshad,Jamhoori Wattan Party,156,NA-164,Vehari-III
Muhammad Ghafir,Amun Taraqqi Party,181,NA-164,Vehari-III
Muhammad Naeem Akhtar Khan,Independent,32312,NA-164,Vehari-III
Rana Fakhar Islam,Independent,2829,NA-164,Vehari-III
Sagheer Ahmad,Independent,25406,NA-164,Vehari-III
Shoukat Ali,Independent,491,NA-164,Vehari-III
Tahir Iqbal,Pakistan Tehreek-e-Insaf,82084,NA-164,Vehari-III
Zafar Ali,Independent,205,NA-164,Vehari-III
Abdullah Hayat Khan,Independent,274,NA-165,Vehari-IV
Ahmad Nawaz Khan Khichi,Independent,1045,NA-165,Vehari-IV
Asif Saeed,Independent,741,NA-165,Vehari-IV
Aurangzeb Khan Khichi,Pakistan Tehreek-e-Insaf,99287,NA-165,Vehari-IV
Ghulam Mustafa,Tehreek-e-Labbaik Pakistan,8162,NA-165,Vehari-IV
Haq Dad Ali Khan,Independent,2009,NA-165,Vehari-IV
Mahmood Hayat Khan,Pakistan Peoples Party Parliamentarians,15383,NA-165,Vehari-IV
Mian Majid Nawaz,Independent,21405,NA-165,Vehari-IV
Saeed Ahmad Khan Manais,Pakistan Muslim League (N),65536,NA-165,Vehari-IV
Muhammad Abdul Ghafar Wattoo,Independent,101811,NA-166,Bahawalnagar-I
Muhammad Arshad Khan,Tehreek-e-Labbaik Pakistan,18084,NA-166,Bahawalnagar-I
Nazia Ayoub,Pakistan Peoples Party Parliamentarians,4127,NA-166,Bahawalnagar-I
Shah Sawar,Independent,786,NA-166,Bahawalnagar-I
Syed Muhammad Asghar,Pakistan Tehreek-e-Insaf,93020,NA-166,Bahawalnagar-I
Syed Nazar Mahmood Shah,Independent,1630,NA-166,Bahawalnagar-I
Alam Dad Laleka,Pakistan Muslim League (N),91349,NA-167,Bahawalnagar-II
Arslan Khan Khakwani,Muttahida Majlis-e-Amal Pakistan,3127,NA-167,Bahawalnagar-II
Ishrat Bagum,Independent,228,NA-167,Bahawalnagar-II
Mian Mumtaz Ahmad,Independent,1357,NA-167,Bahawalnagar-II
Mian Mumtaz Ahmed Mutayana,Independent,0,NA-167,Bahawalnagar-II
Muhammad Akram Tahir,Independent,3297,NA-167,Bahawalnagar-II
Muhammad Aslam,Independent,3569,NA-167,Bahawalnagar-II
Muhammad Azam,Independent,22041,NA-167,Bahawalnagar-II
Muhammad Ijaz Ul Haq,Pakistan Muslim League(Z),823,NA-167,Bahawalnagar-II
Muhammad Rauf,Independent,390,NA-167,Bahawalnagar-II
Muhammad Shahzad,Independent,6344,NA-167,Bahawalnagar-II
Shoukat Ali Laleka,Independent,11962,NA-167,Bahawalnagar-II
Syed Fazal Mehmood Shah,Pakistan Peoples Party Parliamentarians,4848,NA-167,Bahawalnagar-II
Syed Muzzammil Hussain Shah,Tehreek-e-Labbaik Pakistan,10199,NA-167,Bahawalnagar-II
Abdul Majeed,Pakistan Peoples Party Parliamentarians,2765,NA-168,Bahawalnagar-III
Tariq Aziz,Pak Sarzameen Party,614,NA-168,Bahawalnagar-III
Muhammad Ijaz Ul Haq,Independent,4973,NA-168,Bahawalnagar-III
Zafar Iqbal Chaudhary,Independent,9262,NA-168,Bahawalnagar-III
Fatima Tahir Cheema,Pakistan Tehreek-e-Insaf,74517,NA-168,Bahawalnagar-III
Zaheer ilyas,Pakistan Awami Raj,670,NA-168,Bahawalnagar-III
Kashif Sana,Independent,648,NA-168,Bahawalnagar-III
Ehsan Ul Haq Bajwa,Pakistan Muslim League (N),124218,NA-168,Bahawalnagar-III
Khalil Ur  Rehman,Tehreek-e-Labbaik Pakistan,9554,NA-168,Bahawalnagar-III
ABRAR AZAM,Pakistan Peoples Party (Shaheed Bhutto),474,NA-169,Bahawalnagar-IV
AHMAD KHAN KAMOKA,Tehreek-e-Labbaik Pakistan,17894,NA-169,Bahawalnagar-IV
Ghulam Murtaza,Independent,3752,NA-169,Bahawalnagar-IV
ISHRAT MANZOOR,Muttahida Majlis-e-Amal Pakistan,1529,NA-169,Bahawalnagar-IV
Khadija Khanam,Independent,2031,NA-169,Bahawalnagar-IV
Muhammad Anwar,Independent,359,NA-169,Bahawalnagar-IV
Muhammad Ijaz Ul Haq,Pakistan Muslim League (F),72461,NA-169,Bahawalnagar-IV
MUHAMMAD ISMAIL,Amun Taraqqi Party,87,NA-169,Bahawalnagar-IV
MUHAMMAD YOUSAF GOURI,All Pakistan Muslim League,432,NA-169,Bahawalnagar-IV
NOOR UL HASSAN TANVIR,Pakistan Muslim League (N),91763,NA-169,Bahawalnagar-IV
SHOUKAT MEHMOOD,Independent,52050,NA-169,Bahawalnagar-IV
ALAMGIR MANSHA,Independent,116,NA-170,Bahawalpur-I
MEHMOOD UL HASSAN,Tehreek-e-Labbaik Pakistan,5241,NA-170,Bahawalpur-I
MIAN SHAHID IQBAL,Independent,40,NA-170,Bahawalpur-I
MUHAMMAD ANWAR,Independent,145,NA-170,Bahawalpur-I
MUHAMMAD BALIGH UR REHMAN,Pakistan Muslim League (N),74694,NA-170,Bahawalpur-I
MUHAMMAD FAROOQ AZAM MALIK,Pakistan Tehreek-e-Insaf,84495,NA-170,Bahawalpur-I
MUHAMMAD USMAN FAROOQ,Independent,125,NA-170,Bahawalpur-I
NAHEED MALIK,Independent,45,NA-170,Bahawalpur-I
SHAZIA NOUREEN,All Pakistan Muslim League,511,NA-170,Bahawalpur-I
SYED IRFAN AHMED GARDEZI,Pakistan Peoples Party Parliamentarians,5039,NA-170,Bahawalpur-I
SYED WASEEM AKHTAR,Muttahida Majlis-e-Amal Pakistan,14821,NA-170,Bahawalpur-I
SYED ZEESHAN AKHTER,Independent,192,NA-170,Bahawalpur-I
Choudhary Tariq Bashir Cheema,Independent,23012,NA-171,Bahawalpur-II
Khan Khuda Yar Khan,Tehreek-e-Labbaik Pakistan,7418,NA-171,Bahawalpur-II
Hafiz Khair Muhammad,Muttahida Majlis-e-Amal Pakistan,1776,NA-171,Bahawalpur-II
choudhary Naeem ud Din Warraich,Pakistan Tehreek-e-Insaf,88297,NA-171,Bahawalpur-II
Syed Salman Ahmad Gardezi,Pakistan Peoples Party Parliamentarians,15738,NA-171,Bahawalpur-II
Aleem Ullah Warraich,Independent,979,NA-171,Bahawalpur-II
Mian Riaz Hussain Pirzada,Pakistan Muslim League (N),99202,NA-171,Bahawalpur-II
Aleem Ullah Warraich,Independent,620,NA-172,Bahawalpur-III
Chaudhary Tariq Bashir Cheema,Pakistan Muslim League,106383,NA-172,Bahawalpur-III
Farzana Rauf,Independent,744,NA-172,Bahawalpur-III
Hamid Sufyan,Pakistan Peoples Party Parliamentarians,5783,NA-172,Bahawalpur-III
Saud Majeed,Pakistan Muslim League (N),101971,NA-172,Bahawalpur-III
Zulfiqar Ali,Tehreek-e-Labbaik Pakistan,9180,NA-172,Bahawalpur-III
KHADEEJA AAMIR,Pakistan Tehreek-e-Insaf,60211,NA-173,Bahawalpur-IV
MAKHDOOM SYED ALI HASSAN GILLANI,Pakistan Peoples Party Parliamentarians,44892,NA-173,Bahawalpur-IV
MALIK YASIR YAR WARAN,Independent,6664,NA-173,Bahawalpur-IV
MIAN NAJEEB UD DIN AWAISI,Pakistan Muslim League (N),86142,NA-173,Bahawalpur-IV
MUHAMMAD JAMIL,Independent,2698,NA-173,Bahawalpur-IV
RUKHSANA JABEEN,Tehreek-e-Labbaik Pakistan,6039,NA-173,Bahawalpur-IV
Sahibzada Shahzain Abbasi,Independent,3403,NA-173,Bahawalpur-IV
ARIF AZIZ SHEIKH,Independent,2720,NA-174,Bahawalpur-V
Makhdoom Syed Ali Hassan Gillani,Pakistan Peoples Party Parliamentarians,51359,NA-174,Bahawalpur-V
Makhdoom Syed Sami ul Hassan Gillani,Pakistan Tehreek-e-Insaf,63884,NA-174,Bahawalpur-V
MALIK KHALID MEHMOOD BABAR,Independent,7571,NA-174,Bahawalpur-V
MUHAMMAD SALEEM MUGHAL,Independent,791,NA-174,Bahawalpur-V
PRINCE BAHAWAL ABBAS ABBASI,Independent,58092,NA-174,Bahawalpur-V
RAHEEM BAKHSH,Independent,1294,NA-174,Bahawalpur-V
Sajid Hussain,Pakistan Quami Yakjehti Party,575,NA-174,Bahawalpur-V
SHEHREEN ARSHAD,Independent,814,NA-174,Bahawalpur-V
Khawaja Muhammad Asgher Koreja,Independent,4510,NA-175,RahimYar Khan-I
Muhammad Zubair,Independent,774,NA-175,RahimYar Khan-I
Syed Mobeen Ahmed,Pakistan Tehreek-e-Insaf,96967,NA-175,RahimYar Khan-I
Ghulam Mustafa Sabar,Muttahida Majlis-e-Amal Pakistan,1588,NA-175,RahimYar Khan-I
Syed Hamid Saeed Kazmi,Independent,39357,NA-175,RahimYar Khan-I
Mian Faiz Ul Hassan,Independent,444,NA-175,RahimYar Khan-I
Khawaja Ghulam Rasool Kureja,Pakistan Peoples Party Parliamentarians,89113,NA-175,RahimYar Khan-I
Nazia Parveen,Tehreek-e-Labbaik Pakistan,1685,NA-175,RahimYar Khan-I
Muhammad Ilyas,Independent,2096,NA-175,RahimYar Khan-I
MIAN ABDUS SATTAR,Independent,191,NA-176,RahimYar Khan-II
Hafiz Muhammad Tahir Zeeshan,Independent,1146,NA-176,RahimYar Khan-II
CHAUDHRY MUHAMMAD AKMAL SIDDIQUE,Independent,333,NA-176,RahimYar Khan-II
SYED TANVIR HUSSAIN,Pakistan Peoples Party Parliamentarians,39949,NA-176,RahimYar Khan-II
SHEIKH FAYYAZ UD DIN,Pakistan Muslim League (N),78536,NA-176,RahimYar Khan-II
MUHAMMAD MAJEED,Pakistan Supreme Democratic,708,NA-176,RahimYar Khan-II
MUHAMMAD AZHAR,Independent,23534,NA-176,RahimYar Khan-II
JUNAID RIAZ,Independent,547,NA-176,RahimYar Khan-II
AMMAD UD DIN,Independent,5020,NA-176,RahimYar Khan-II
SYED MUHAMMAD ABID SHAH,Independent,348,NA-176,RahimYar Khan-II
CHAUDHRY MUHAMMAD EJAZ SHAFI,Independent,977,NA-176,RahimYar Khan-II
MIAN GHOUS MUHAMMAD,Pakistan Tehreek-e-Insaf,59860,NA-176,RahimYar Khan-II
Nazir Ahmed,Independent,4097,NA-177,RahimYar Khan-III
Makhdoom Imad ud Din Hashmi,Independent,3304,NA-177,RahimYar Khan-III
Ghulam Kibria,Muttahida Majlis-e-Amal Pakistan,2091,NA-177,RahimYar Khan-III
Rukhsana Kousar,Tehreek-e-Labbaik Pakistan,3298,NA-177,RahimYar Khan-III
Makhdoom Tahir Rashid ud Din,Independent,298,NA-177,RahimYar Khan-III
Makhdoom Moeen ud Din Ali,Pakistan Muslim League (N),31842,NA-177,RahimYar Khan-III
Sardar Muhammad Nawaz Khan,Independent,2710,NA-177,RahimYar Khan-III
Muhammad Ahsan Abid,Independent,309,NA-177,RahimYar Khan-III
Makhdoom Khusro Bukhtyar,Pakistan Tehreek-e-Insaf,100768,NA-177,RahimYar Khan-III
Jamshed Ahmed,Pakistan Awami Raj,2118,NA-177,RahimYar Khan-III
Makhdoom Shahab ud Din,Pakistan Peoples Party Parliamentarians,64645,NA-177,RahimYar Khan-III
Syed Ibrar Hussain Shah,Independent,1238,NA-177,RahimYar Khan-III
Muhammad Safder Khan Laghari,Independent,3960,NA-178,RahimYar Khan-IV
MUHAMMAD TARIQ,Pakistan Muslim League (N),50723,NA-178,RahimYar Khan-IV
RAIS MUHAMMAD MAHBOOB AHMED,Pakistan Tehreek-e-Insaf,49646,NA-178,RahimYar Khan-IV
SYED MUSTAFA MAHMUD,Pakistan Peoples Party Parliamentarians,93044,NA-178,RahimYar Khan-IV
QAMAR JAVED,Independent,1872,NA-179,RahimYar Khan-V
NOOR AHMAD SIALL,Muttahida Majlis-e-Amal Pakistan,3848,NA-179,RahimYar Khan-V
AZAM SHABBIR,Independent,257,NA-179,RahimYar Khan-V
ALI AHMED SHAH,Tehreek-e-Labbaik Islam,501,NA-179,RahimYar Khan-V
MUHAMMAD AAMIR SHAHBAZ,Pakistan Peoples Party Parliamentarians,35709,NA-179,RahimYar Khan-V
ABDUL RASHEED AHMAD,Pakistan Tehreek-e-Insaf Nazriati,111,NA-179,RahimYar Khan-V
JAVED IQBAL,Pakistan Tehreek-e-Insaf,110827,NA-179,RahimYar Khan-V
MIAN IMTIAZ AHMAD,Pakistan Muslim League (N),88795,NA-179,RahimYar Khan-V
HAFIZA FARAH NAZ,Tehreek-e-Labbaik Pakistan,3218,NA-179,RahimYar Khan-V
Shahid Hameed,Allah-o-Akbar Tehreek,2002,NA-179,RahimYar Khan-V
Javed Iqbal,Independent,1848,NA-179,RahimYar Khan-V
SAJID IQBAL,Independent,346,NA-179,RahimYar Khan-V
Chaudhary Muhammad Shafique Anwar,Independent,123,NA-180,RahimYar Khan-VI
Hafiz Asif Rasheed,Independent,426,NA-180,RahimYar Khan-VI
Muhammad Akram,Pakistan Tehreek-e-Insaf Nazriati,855,NA-180,RahimYar Khan-VI
Muhammad Arshad,Independent,624,NA-180,RahimYar Khan-VI
MUHAMMAD ARSHAD KHAN LEGHARI,Pakistan Muslim League (N),54990,NA-180,RahimYar Khan-VI
MUHAMMAD SAFDAR KHAN LEGHARI,Independent,703,NA-180,RahimYar Khan-VI
NADEEM ABBAS CHEEMA,Independent,37145,NA-180,RahimYar Khan-VI
Nazim Hussain Saeed,Tehreek-e-Labbaik Pakistan,4709,NA-180,RahimYar Khan-VI
SAGHEER ABBAS,Independent,1035,NA-180,RahimYar Khan-VI
Sardar Rafique Haider khan Laghari,Pakistan Tehreek-e-Insaf,46517,NA-180,RahimYar Khan-VI
Syed Murtaza Mahmud,Pakistan Peoples Party Parliamentarians,71988,NA-180,RahimYar Khan-VI
Tahir Ali,Allah-o-Akbar Tehreek,1550,NA-180,RahimYar Khan-VI
Ahmad Yar,Independent,1044,NA-181,Muzaffargarh-I
Benazir Fatima,Allah-o-Akbar Tehreek,1314,NA-181,Muzaffargarh-I
Farooq ur Rehman,Independent,740,NA-181,Muzaffargarh-I
Iftikhar Ali,Pakistan National Muslim League,199,NA-181,Muzaffargarh-I
Ihsan ul Haq Ahsan,Pakistan Peoples Party Parliamentarians,19599,NA-181,Muzaffargarh-I
Khalida Perveen,Independent,604,NA-181,Muzaffargarh-I
Malik Ghulam Mustafa Khar,Pakistan Tehreek-e-Insaf,48858,NA-181,Muzaffargarh-I
Malik Sulatan Mehmood,Independent,54253,NA-181,Muzaffargarh-I
Muhammad Ashraf khan Rind,Independent,3817,NA-181,Muzaffargarh-I
Muhammad Sajjad Shahid,Independent,3387,NA-181,Muzaffargarh-I
Muhammad Shabbir Ali,Independent,64012,NA-181,Muzaffargarh-I
Amaan Ullah,Independent,1238,NA-182,Muzaffargarh-II
Hammad Nawaz Khan,Pakistan Muslim League (N),47642,NA-182,Muzaffargarh-II
Imtiaz Hussain,Independent,267,NA-182,Muzaffargarh-II
Jamshed Ahmed,Pakistan Awami Raj,50566,NA-182,Muzaffargarh-II
Mahar Irshad Ahmad Khan,Pakistan Peoples Party Parliamentarians,53054,NA-182,Muzaffargarh-II
Mehnaz Saeed,Independent,259,NA-182,Muzaffargarh-II
Muhammad Hussain,Independent,1139,NA-182,Muzaffargarh-II
Muhammad Kashif Fareed,Independent,73,NA-182,Muzaffargarh-II
Muhammad Naeem Akhtar,Independent,158,NA-182,Muzaffargarh-II
Muhammad Yaseen,Independent,690,NA-182,Muzaffargarh-II
Muhammad Yousif,Independent,861,NA-182,Muzaffargarh-II
Nawab Zada Muhammad Ahmad Khan Babar,Independent,167,NA-182,Muzaffargarh-II
Qayoom Nawaz Khan,Independent,78,NA-182,Muzaffargarh-II
Rana Mushtaq Ahmed,Independent,954,NA-182,Muzaffargarh-II
Syed Chiragh Ali Gilani,Tehreek-e-Labbaik Pakistan,6604,NA-182,Muzaffargarh-II
Tehmina Dasti,Pakistan Tehreek-e-Insaf,33849,NA-182,Muzaffargarh-II
Imtiaz Hussain,Independent,2153,NA-183,Muzaffargarh-III
Allah Bachaya,Tehreek-e-Labbaik Pakistan,35125,NA-183,Muzaffargarh-III
Fiaz Hussain,Independent,39922,NA-183,Muzaffargarh-III
Amjad Noor Muhammad Khan,Independent,901,NA-183,Muzaffargarh-III
Malik Muhammad Rafeeq Khar,Pakistan Tehreek-e-Insaf,36322,NA-183,Muzaffargarh-III
Raza Rabani Khar,Pakistan Peoples Party Parliamentarians,54922,NA-183,Muzaffargarh-III
Muhammad Arif Khan Baloch,Pakistan Muslim League (N),3050,NA-183,Muzaffargarh-III
Muhammad Ali Raza Khar,Independent,1220,NA-183,Muzaffargarh-III
Husnain Raza,Independent,2560,NA-183,Muzaffargarh-III
Tariq Ahmad Gormani,Independent,16650,NA-183,Muzaffargarh-III
Muhammad Zeeshan Gurmani,Independent,366,NA-183,Muzaffargarh-III
Zulfiqar Ali Dasti,Independent,8030,NA-183,Muzaffargarh-III
Sadam Hussain,Independent,1494,NA-183,Muzaffargarh-III
Sajid Mehmood Ashraf,Independent,144,NA-183,Muzaffargarh-III
Arshad Iqbal,Muttahida Majlis-e-Amal Pakistan,994,NA-183,Muzaffargarh-III
Muhamamd Saud,Independent,476,NA-183,Muzaffargarh-III
Amjad Ali,Independent,1103,NA-184,Muzaffargarh-IV
Azeem Qamar,Tehreek-e-Labbaik Islam,1167,NA-184,Muzaffargarh-IV
Bilal Ahmed Khan,Independent,354,NA-184,Muzaffargarh-IV
Ghulam Abbass,Tehreek-e-Labbaik Pakistan,11505,NA-184,Muzaffargarh-IV
Jamshaid Ahmad,Pakistan Awami Raj,40329,NA-184,Muzaffargarh-IV
